Year;Type;Country;Activity;Sex;Age;Fatal;Time;Species
1963;Unprovoked;FIJI;Fishing;M;Young adult;N;Morning;Medium
2013;Unprovoked;AUSTRALIA;Fishing;M;Young adult;N;Morning;Medium
1992;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2017;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
1955;Unprovoked;AMERICAN SAMOA;Swimming;M;Young adult;Y;Morning;Medium
1994;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
1983;Unprovoked;AUSTRALIA;Navigating;M;Young adult;N;Night;Big
2015;Provoked;USA;Fishing;M;Young adult;N;Afternoon;Medium
2010;Provoked;USA;Swimming;M;Young adult;N;Afternoon;Small
1974;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Big
1980;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
1993;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
2010;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Big
1995;Unprovoked;AUSTRALIA;Diving;M;Young adult;Y;Afternoon;Big
2016;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Afternoon;Big
1901;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Big
1989;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;N;Afternoon;Medium
1986;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Afternoon;Medium
2012;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Afternoon;Medium
1958;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Afternoon;Medium
1995;Unprovoked;HONG KONG;Swimming;M;Young adult;Y;Afternoon;Medium
1958;Unprovoked;TAIWAN;Diving;M;Young adult;N;Afternoon;Small
2001;Unprovoked;USA;Swimming;F;Young adult;N;Midday;Small
1985;Unprovoked;USA;Diving;M;Young adult;N;Midday;Big
1997;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Big
1989;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;Y;Midday;Big
2015;Unprovoked;SOUTH AFRICA;Diving;M;Young adult;N;Midday;Medium
2006;Unprovoked;USA;Swimming;M;Young adult;N;Midday;Medium
2013;Unprovoked;ECUADOR;Surfing;M;Young adult;N;Midday;Small
1999;Unprovoked;USA;Swimming;F;Young adult;N;Morning;Medium
1996;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Big
1980;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Medium
2008;Unprovoked;AUSTRALIA;Navigating;M;Young adult;N;Morning;Medium
1976;Unprovoked;USA;Diving;M;Young adult;N;Morning;Big
1983;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Big
1966;Unprovoked;USA;Diving;M;Young adult;N;Morning;Medium
1962;Unprovoked;USA;Fishing;M;Young adult;N;Morning;Medium
1999;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
2011;Unprovoked;SOUTH AFRICA;Surfing;M;Young adult;N;Morning;Medium
2013;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Medium
2012;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Morning;Medium
1986;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Morning;Medium
2005;Unprovoked;USA;Swimming;M;Young adult;N;Morning;Medium
2014;Unprovoked;USA;Surfing;M;Young adult;N;Morning;Small
2002;Unprovoked;USA;Swimming;M;Young adult;N;Morning;Small
1999;Unprovoked;USA;Swimming;F;Young adult;N;Afternoon;Small
1989;Provoked;AUSTRALIA;Fishing;M;Young adult;N;Afternoon;Small
2012;Unprovoked;USA;Fishing;M;Young adult;N;Afternoon;Big
1959;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Big
1971;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Big
2010;Unprovoked;USA;Diving;M;Young adult;N;Afternoon;Medium
1954;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Afternoon;Medium
2007;Unprovoked;NEW CALEDONIA;Fishing;M;Young adult;N;Afternoon;Medium
1959;Unprovoked;USA;Navigating;M;Young adult;N;Afternoon;Medium
2011;Unprovoked;PAPUA NEW GUINEA;Surfing;M;Young adult;N;Afternoon;Medium
2003;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1992;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Medium
1991;Unprovoked;REUNION;Surfing;M;Young adult;N;Afternoon;Medium
2012;Unprovoked;AUSTRALIA;Surfing;M;Young adult;N;Afternoon;Medium
2004;Unprovoked;AUSTRALIA;Surfing;M;Young adult;Y;Afternoon;Medium
1946;Unprovoked;AUSTRALIA;Swimming;M;Young adult;Y;Afternoon;Medium
1994;Unprovoked;BAHAMAS;Fishing;M;Young adult;N;Afternoon;Small
1988;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2003;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2008;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
2013;Unprovoked;USA;Surfing;M;Young adult;N;Afternoon;Small
1981;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;N;Afternoon;Small
2011;Unprovoked;SEYCHELLES;Swimming;M;Young adult;Y;Afternoon;Small
1972;Unprovoked;SOUTH AFRICA;Swimming;F;Young adult;N;Evening;Small
2007;Unprovoked;USA;Swimming;F;Young adult;N;Midday;Small
2005;Unprovoked;USA;Surfing;M;Young adult;N;Midday;Big
1963;Unprovoked;SOLOMON ISLANDS;Fishing;M;Young adult;Y;Midday;Big
1997;Unprovoked;AUSTRALIA;Diving;M;Young adult;N;Midday;Medium
1987;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Medium
1999;Unprovoked;SOUTH AFRICA;Fishing;M;Young adult;N;Midday;Medium
1906;Unprovoked;SOUTH AFRICA;Swimming;M;Young adult;Y;Midday;Medium
1963;Provoked;PAPUA NEW GUINEA;Fishing;M;Young adult;N;Morning;Small
2013;Provoked;SOUTH AFRICA;Fishing;M;Young adult;N;Morning;Small
2018;Unprovoked;COSTA RICA;Diving;M;Young adult;N;Morning;Medium
2012;Unprovoked;USA;Diving;M;Young adult;N;Morning;Medium
2016;Provoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Small
1995;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
2009;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Medium
2012;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Medium
2000;Unprovoked;OKINAWA;Surfing;M;Adult;Y;Afternoon;Medium
1992;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Small
1950;Unprovoked;USA;Surfing;M;Adult;N;Midday;Big
2007;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Midday;Medium
1951;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Midday;Medium
1994;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Midday;Medium
2009;Unprovoked;USA;Surfing;M;Adult;N;Midday;Small
1958;Unprovoked;PACIFIC OCEAN;Swimming;M;Adult;N;Morning;Small
1996;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
1993;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Morning;Big
2010;Unprovoked;AUSTRALIA;Surfing;M;Adult;Y;Morning;Big
2009;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Medium
2016;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
2009;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2007;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2009;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
1990;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2008;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
1991;Unprovoked;USA;Swimming;M;Adult;N;Morning;Medium
2002;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2017;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
1960;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Night;Medium
1963;Unprovoked;AUSTRALIA;Swimming;F;Adult;Y;Afternoon;Medium
2005;Provoked;SOUTH AFRICA;Fishing;M;Adult;N;Afternoon;Medium
1937;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Afternoon;Big
1972;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
1995;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
1966;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Afternoon;Medium
2007;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2011;Unprovoked;FRENCH POLYNESIA;Surfing;M;Adult;N;Afternoon;Small
1987;Unprovoked;USA;Surfing;F;Adult;N;Evening;Small
1983;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Midday;Big
2011;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Midday;Medium
2008;Unprovoked;USA;Swimming;M;Adult;N;Midday;Small
2017;Unprovoked;BAHAMAS;Diving;F;Adult;N;Morning;Medium
2018;Provoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Small
1991;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
1991;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Big
1967;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Morning;Medium
2005;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2012;Unprovoked;MEXICO;Swimming;M;Adult;Y;Morning;Medium
1962;Unprovoked;MEXICO;Swimming;M;Adult;Y;Morning;Medium
1981;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Small
2005;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Small
1986;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Small
2012;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
1998;Unprovoked;USA;Swimming;M;Adult;N;Morning;Small
2008;Unprovoked;NEW CALEDONIA;Swimming;M;Adult;N;Morning;Small
2018;Unprovoked;MALDIVES;Fishing;M;Adult;N;Night;Medium
2012;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Big
2006;Unprovoked;USA;Diving;F;Adult;N;Afternoon;Medium
1966;Provoked;SOUTH AFRICA;Fishing;M;Adult;N;Afternoon;Medium
1959;Unprovoked;USA;Diving;M;Adult;Y;Afternoon;Big
1998;Unprovoked;SOUTH AFRICA;Diving;M;Adult;N;Afternoon;Medium
1968;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Medium
1974;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Afternoon;Medium
1961;Unprovoked;NORTH PACIFIC OCEAN;Diving;M;Adult;N;Afternoon;Small
2006;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2005;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Small
1994;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Afternoon;Small
2009;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Evening;Medium
2003;Unprovoked;USA;Surfing;M;Adult;N;Evening;Medium
1985;Unprovoked;AUSTRALIA;Diving;F;Adult;Y;Midday;Big
1984;Provoked;SOUTH AFRICA;Diving;M;Adult;N;Morning;Small
1988;Provoked;SOUTH AFRICA;Fishing;M;Adult;N;Morning;Small
1960;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
2018;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2012;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Morning;Medium
1997;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
1975;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Small
1937;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Night;Medium
2015;Unprovoked;BAHAMAS;Diving;F;Adult;N;Afternoon;Big
1993;Unprovoked;USA;Navigating;F;Adult;N;Afternoon;Big
2013;Unprovoked;MEXICO;Swimming;F;Adult;N;Afternoon;Medium
2008;Provoked;AUSTRALIA;Diving;M;Adult;N;Afternoon;Medium
1975;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
1966;Provoked;USA;Fishing;M;Adult;N;Evening;Small
2004;Unprovoked;USA;Fishing;M;Adult;N;Midday;Medium
2012;Provoked;AUSTRALIA;Diving;F;Adult;N;Morning;Small
1993;Unprovoked;AUSTRALIA;Diving;F;Adult;Y;Morning;Big
1994;Unprovoked;USA;Surfing;F;Adult;N;Morning;Medium
2014;Unprovoked;USA;Surfing;F;Adult;N;Morning;Medium
2002;Unprovoked;USA;Swimming;F;Adult;N;Morning;Medium
2003;Provoked;USA;Surfing;M;Adult;N;Morning;Small
1971;Unprovoked;CROATIA;Swimming;M;Adult;Y;Morning;Big
2012;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
1985;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Morning;Medium
1989;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
1997;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
1960;Unprovoked;BERMUDA;Navigating;M;Adult;N;Morning;Small
2004;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Small
2002;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2002;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
2010;Unprovoked;REUNION;Surfing;M;Adult;N;Morning;Small
2017;Provoked;USA;Fishing;M;Adult;N;Night;Small
2016;Provoked;AUSTRALIA;Fishing;M;Adult;N;Night;Small
1998;Unprovoked;MOZAMBIQUE;Swimming;F;Adult;Y;Afternoon;Medium
2003;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Small
2006;Provoked;USA;Fishing;M;Adult;N;Afternoon;Small
1999;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Medium
1993;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
1966;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2018;Unprovoked;AUSTRALIA;Swimming;M;Adult;N;Afternoon;Medium
2006;Unprovoked;BRAZIL;Swimming;M;Adult;N;Afternoon;Medium
2002;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
1968;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Afternoon;Small
1962;Unprovoked;AUSTRALIA;Swimming;M;Adult;N;Afternoon;Small
2002;Provoked;AUSTRALIA;Navigating;M;Adult;N;Evening;Medium
1999;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Evening;Medium
1992;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Midday;Medium
2002;Unprovoked;USA;Diving;M;Adult;N;Midday;Small
1963;Unprovoked;PALAU;Fishing;M;Adult;N;Morning;Medium
2002;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
2010;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2015;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2017;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
1995;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2014;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2000;Unprovoked;NEW CALEDONIA;Fishing;M;Adult;Y;Morning;Medium
1964;Unprovoked;FIJI;Fishing;M;Adult;Y;Morning;Medium
2013;Unprovoked;AUSTRALIA;Surfing;M;Adult;Y;Morning;Medium
1997;Unprovoked;USA;Fishing;M;Adult;N;Morning;Small
1960;Unprovoked;BERMUDA;Navigating;M;Adult;N;Morning;Small
1868;Unprovoked;INDIA;Surfing;M;Adult;Y;Morning;Small
1991;Provoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Medium
1967;Provoked;AUSTRALIA;Fishing;M;Adult;N;Afternoon;Small
2002;Provoked;USA;Swimming;M;Adult;N;Afternoon;Small
2003;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
2002;Unprovoked;BRAZIL;Swimming;M;Adult;Y;Afternoon;Medium
1949;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Afternoon;Small
1992;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Afternoon;Small
2005;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
2016;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
1958;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Midday;Small
1959;Unprovoked;FIJI;Fishing;M;Adult;N;Midday;Small
1992;Unprovoked;USA;Surfing;F;Adult;N;Morning;Medium
2011;Provoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
1982;Unprovoked;USA;Diving;M;Adult;N;Morning;Big
1996;Unprovoked;USA;Diving;M;Adult;N;Morning;Big
1988;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Morning;Big
2005;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
1993;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;N;Morning;Medium
2013;Unprovoked;REUNION;Surfing;M;Adult;Y;Morning;Medium
1973;Unprovoked;MEXICO;Diving;M;Adult;Y;Afternoon;Big
1975;Unprovoked;AUSTRALIA;Diving;M;Adult;Y;Afternoon;Big
2010;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;Y;Afternoon;Big
1945;Unprovoked;SOUTH AFRICA;Swimming;M;Adult;N;Afternoon;Medium
1988;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Medium
2000;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Small
1999;Unprovoked;USA;Navigating;M;Adult;N;Evening;Big
2003;Unprovoked;AUSTRALIA;Swimming;M;Adult;N;Evening;Small
2015;Unprovoked;AUSTRALIA;Surfing;F;Adult;N;Morning;Big
2010;Unprovoked;USA;Surfing;F;Adult;N;Morning;Small
2015;Unprovoked;THAILAND;Swimming;F;Adult;N;Morning;Small
2013;Unprovoked;NEW CALEDONIA;Diving;M;Adult;N;Morning;Medium
2007;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Morning;Medium
2017;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Medium
2008;Unprovoked;AUSTRALIA;Swimming;M;Adult;N;Morning;Medium
2005;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
1961;Unprovoked;MOZAMBIQUE;Swimming;M;Adult;N;Morning;Small
2008;Unprovoked;USA;Swimming;M;Adult;N;Morning;Small
2007;Unprovoked;AUSTRALIA;Swimming;F;Adult;N;Afternoon;Medium
2004;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Big
2007;Provoked;ENGLAND;Fishing;M;Adult;N;Afternoon;Small
1961;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Medium
1982;Unprovoked;SOUTH AFRICA;Surfing;M;Adult;N;Afternoon;Medium
1988;Unprovoked;USA;Diving;M;Adult;Y;Afternoon;Medium
1964;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Small
2008;Unprovoked;USA;Swimming;F;Adult;N;Evening;Medium
2011;Unprovoked;MEXICO;Swimming;F;Adult;N;Midday;Small
1939;Provoked;BAHAMAS;Diving;M;Adult;N;Midday;Medium
1989;Unprovoked;USA;Diving;M;Adult;N;Midday;Big
2004;Unprovoked;AUSTRALIA;Fishing;M;Adult;Y;Midday;Medium
1991;Unprovoked;USA;Surfing;M;Adult;N;Morning;Big
1937;Unprovoked;AUSTRALIA;Diving;M;Adult;N;Morning;Medium
2000;Unprovoked;AUSTRALIA;Fishing;M;Adult;N;Morning;Medium
2015;Unprovoked;USA;Surfing;M;Adult;N;Morning;Medium
1995;Unprovoked;USA;Swimming;M;Adult;N;Morning;Medium
1961;Unprovoked;MOZAMBIQUE;Swimming;M;Adult;Y;Morning;Small
1935;Unprovoked;AUSTRALIA;Navigating;M;Adult;Y;Night;Medium
1983;Unprovoked;USA;Surfing;F;Adult;N;Afternoon;Small
2016;Provoked;NEW ZEALAND;Fishing;M;Adult;N;Afternoon;Small
1993;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Big
1997;Unprovoked;SOUTH AFRICA;Fishing;M;Adult;Y;Afternoon;Big
2003;Unprovoked;BAHAMAS;Fishing;M;Adult;N;Afternoon;Medium
2000;Unprovoked;USA;Fishing;M;Adult;N;Afternoon;Medium
2012;Unprovoked;REUNION;Surfing;M;Adult;N;Afternoon;Medium
2014;Unprovoked;USA;Swimming;M;Adult;N;Afternoon;Small
1929;Unprovoked;AUSTRALIA;Swimming;M;Adult;Y;Afternoon;Small
2005;Provoked;NEW ZEALAND;Fishing;M;Adult;N;Midday;Big
2009;Provoked;UNITED KINGDOM;Fishing;M;Adult;N;Midday;Small
1962;Provoked;USA;Diving;M;Adult;N;Morning;Small
2012;Unprovoked;USA;Surfing;M;Adult;Y;Morning;Medium
1960;Unprovoked;USA;Diving;M;Adult;N;Morning;Small
2002;Unprovoked;USA;Diving;M;Adult;N;Morning;Small
1999;Unprovoked;BRAZIL;Fishing;M;Adult;N;Morning;Small
1999;Unprovoked;BRAZIL;Fishing;M;Adult;N;Morning;Small
1995;Unprovoked;USA;Surfing;M;Adult;N;Morning;Small
2014;Unprovoked;AUSTRALIA;Surfing;M;Adult;N;Morning;Small
1991;Unprovoked;ITALY;Navigating;F;Adult;N;Afternoon;Medium
2014;Unprovoked;USA;Swimming;F;Adult;N;Afternoon;Small
2009;Provoked;SOUTH AFRICA;Fishing;M;Adult;N;Afternoon;Small
1992;Unprovoked;USA;Diving;M;Adult;N;Afternoon;Medium
2004;Unprovoked;CUBA;Diving;M;Adult;N;Afternoon;Medium
1986;Unprovoked;USA;Surfing;M;Adult;N;Afternoon;Medium
